// Detail texture map file for cs_militia level
// [texture name]	[detail texture name]		[hscale]	[vscale]


midoortrim2		detail/dt_wood2			5.0		5.0
midoortrim		detail/dt_wood2			5.0		5.0
mifence			detail/dt_wood1			5.0		5.0
mifencedoor		detail/dt_wood1			5.0		5.0
migarage01		detail/dt_wood1			5.0		5.0
migranitetp		detail/dt_stone3		10.0		10.0
mileatherseat01		detail/dt_leather1		10.0		10.0
milight01		detail/dt_smooth1		10.0		10.0
mipanel01		detail/dt_wood1			5.0		5.0
miplasterwll01		detail/dt_plaster1		5.0		5.0
miplasterwll02		detail/dt_plaster1		5.0		5.0
mipost			detail/dt_wood1			10.0		10.0
mirockwall2		detail/dt_stone1		10.0		10.0
mirockwall		detail/dt_stone1		10.0		10.0
mirooftrim01		detail/dt_wood2			5.0		5.0
mishing01		detail/dt_wood2			5.0		5.0
mistairsd		detail/dt_wood2			5.0		5.0
mistairtop		detail/dt_wood2			5.0		5.0
mitabletop01		detail/dt_wood2			5.0		5.0
mitilefloor01		detail/dt_snow2			10.0		10.0
mitunnelflr01		detail/dt_rough1		10.0		10.0
mitunnelwll01		detail/dt_plaster2		5.0		5.0
mitunnelwll02		detail/dt_plaster2		5.0		5.0
miunderwall		detail/dt_wood1			5.0		5.0
miwall01		detail/dt_wood2			5.0		5.0
miwooddoor		detail/dt_wood2			5.0		5.0
miwoodfloor01		detail/dt_wood2			5.0		5.0
miwoodm			detail/dt_wood2			5.0		5.0
miwoodmtrim		detail/dt_wood2			5.0		5.0
MTL_IBEAM45A		detail/dt_metal1		10.0		10.0
mtl_ibeam45b		detail/dt_metal1		10.0		10.0
origin			detail/dt_smooth1		10.0		10.0
pfab_bks1b		detail/dt_metal1		10.0		10.0
pi_rust			detail/dt_metal1		10.0		10.0
poster14		detail/dt_plaster2		10.0		10.0
prefabbook1		detail/dt_fabric2		10.0		10.0
prefabbook2		detail/dt_fabric2		10.0		10.0
prefabbook3		detail/dt_fabric2		10.0		10.0
scorch3			detail/dt_ground2		10.0		10.0
sign73b			detail/dt_smooth1		10.0		10.0
SKIP			detail/dt_smooth1		10.0		10.0
sky			detail/dt_snow2			10.0		10.0
sphinx_comp_4		detail/dt_smooth1		10.0		10.0
sphinx_desk_2		detail/dt_metal1		10.0		10.0
sphinx_mon_5		detail/dt_smooth1		10.0		10.0
stripes2		detail/dt_metal1		10.0		10.0
tnnl_w4a		detail/dt_ground1		10.0		10.0
wall_1			detail/dt_plaster2		5.0		5.0
wood1			detail/dt_wood2			5.0		5.0
wood093			detail/dt_wood			5.0		5.0
wood155			detail/dt_wood2			5.0		5.0
wood_1			detail/dt_wood2			5.0		5.0
