// Detail texture map file for de_dust level
// [texture name]	[detail texture name]		[hscale]	[vscale]

reinf_top02		detail/dt_wood2			10.0		10.0
reinf_top03		detail/dt_wood2			10.0		10.0
reinf_topD01		detail/dt_wood			10.0		10.0
reinf_topT01		detail/dt_wood			10.0		10.0
SandCCrete		detail/dt_stone1		10.0		10.0
SandRoadTgtB		detail/dt_ground2		10.0		10.0
Sandtrim2a		detail/dt_stone1		10.0		10.0
SandWllDoor2		detail/dt_wood 			10.0		10.0
SandWllDoor		detail/dt_wood 			10.0		10.0
SandWllWndw2		detail/dt_wood 			10.0		10.0
SandWllWndw3		detail/dt_wood 			10.0		10.0
SandWllWndw4		detail/dt_wood 			10.0		10.0
SandWllWndw		detail/dt_wood 			10.0		10.0
sky			detail/dt_snow2			10.0		10.0
wll_hllway_orn		detail/dt_stone1		10.0		10.0
wll_msq_top		detail/dt_stone1		10.0		10.0
wll_msq_trm		detail/dt_stone1		10.0		10.0
wll_sndstn_pln		detail/dt_stone1		10.0		10.0
